index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1997.16,1997,16,513,1997.04,0,513,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.04715592688657,50.85115121942246,-12
1997.17,1997,17,486,1997.04,0,486,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0446740359978,50.85115121942246,-12
1997.18,1997,18,525,1997.05,0,525,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.937147878392686,50.85115121942246,-12
1997.19,1997,19,492,1997.05,0,492,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.48967001175086,50.85115121942246,-12
1997.20,1997,20,482,1997.05,0,482,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.74801005216243,50.85115121942246,-12
1997.21,1997,21,483,1997.05,0,483,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.82217604812127,50.85115121942246,-12
1997.22,1997,22,489,1997.06,0,489,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.26717202387433,50.85115121942246,-12
1997.23,1997,23,509,1997.06,0,509,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.750491943051195,50.85115121942246,-12
1997.24,1997,24,515,1997.06,0,515,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.195487918804254,50.85115121942246,-12
1997.25,1997,25,476,1997.06,0,476,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.30301407640937,50.85115121942246,-12
1997.26,1997,26,465,1997.06,0,465,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.48718812086209,50.85115121942246,-12
1997.27,1997,27,467,1997.07,0,467,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.63552011277978,50.85115121942246,-12
1997.28,1997,28,504,1997.07,0,504,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.37966196325698,50.85115121942246,-12
1997.29,1997,29,475,1997.07,0,475,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.228848080450526,50.85115121942246,-12
1997.30,1997,30,479,1997.07,0,479,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5255120642859,50.85115121942246,-12
1997.31,1997,31,485,1997.08,0,485,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.97050804003896,50.85115121942246,-12
1997.32,1997,32,504,1997.08,0,504,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.37966196325698,50.85115121942246,-12
1997.33,1997,33,526,1997.08,0,526,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.01131387435153,50.85115121942246,-12
1997.34,1997,34,503,1997.08,0,503,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.305495967298135,50.85115121942246,-12
1997.35,1997,35,431,1997.09,0,431,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.965544258261424,50.85115121942246,-12
1997.36,1997,36,455,1997.09,0,455,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.74552816127366,50.85115121942246,-12
1997.37,1997,37,457,1997.09,0,457,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.89386015319135,50.85115121942246,-12
1997.38,1997,38,491,1997.09,0,491,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.41550401579202,50.85115121942246,-12
1997.39,1997,39,455,1997.09,0,455,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.74552816127366,50.85115121942246,-12
1997.40,1997,40,477,1997.10,0,477,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.37718007236821,50.85115121942246,-12
1997.41,1997,41,500,1997.10,0,500,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.082997979421606,50.85115121942246,-12
1997.42,1997,42,493,1997.10,0,493,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5638360077097,50.85115121942246,-12
1997.43,1997,43,485,1997.10,0,485,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.97050804003896,50.85115121942246,-12
1997.44,1997,44,445,1997.11,0,445,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.00386820168523,50.85115121942246,-12
1997.45,1997,45,508,1997.11,0,508,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.67632594709235,50.85115121942246,-12
1997.46,1997,46,472,1997.11,0,472,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.006350092573996,50.85115121942246,-12
1997.47,1997,47,522,1997.11,0,522,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.71464989051616,50.85115121942246,-12
1997.48,1997,48,543,1997.12,0,543,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.272135805651864,50.85115121942246,-12
1997.49,1997,49,510,1997.12,0,510,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.82465793901004,50.85115121942246,-12
1997.50,1997,50,494,1997.12,0,494,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.63800200366855,50.85115121942246,-12
1997.51,1997,51,537,1997.12,0,537,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.827139829898805,50.85115121942246,-12
1997.52,1997,52,656,1997.12,3,459.2,13.483268,6.856396999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.65289334900115,50.85115121942246,-12
1998.1,1998,1,270,1998.01,-3,472.5,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.934330409163945,50.83772546927444,-11
1998.2,1998,2,432,1998.01,0,432,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.894928654662312,50.83772546927444,-11
1998.3,1998,3,451,1998.01,0,451,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.29771486864051,50.83772546927444,-11
1998.4,1998,4,475,1998.01,0,475,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06965534945509,50.83772546927444,-11
1998.5,1998,5,447,1998.02,0,447,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.00239145517142,50.83772546927444,-11
1998.6,1998,6,452,1998.02,0,452,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.37154572200779,50.83772546927444,-11
1998.7,1998,7,464,1998.02,0,464,13.544473,6.885702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.25751596241508,50.83772546927444,-11
